NAME                                               VERSION                                                  TYPE                            
ansi-regex                                         5.0.1                                                    npm           (+1 duplicate)    
ansi-regex                                         6.2.2                                                    npm           (+1 duplicate)    
ansi-styles                                        2.2.1                                                    npm                             
ansi-styles                                        3.2.1                                                    npm                             
ansi-styles                                        4.3.0                                                    npm           (+2 duplicates)   
ansi-styles                                        6.2.3                                                    npm                             
anstream                                           1.0.0                                                    rust-crate    (+1 duplicate)    
anstyle                                            1.0.14                                                   rust-crate    (+1 duplicate)    
anstyle-parse                                      1.0.0                                                    rust-crate    (+1 duplicate)    
anstyle-query                                      1.1.5                                                    rust-crate    (+1 duplicate)    
anyhow                                             1.0.103                                                  rust-crate    (+1 duplicate)    
anymatch                                           3.1.3                                                    npm                             
aproba                                             2.1.0                                                    npm                             
apt                                                2.6.1                                                    deb                             
archy                                              1.0.0                                                    npm                             
arcstr                                             1.2.0                                                    rust-crate    (+1 duplicate)    
argparse                                           2.0.1                                                    npm                             
aria-hidden                                        1.2.6                                                    npm                             
asap                                               2.0.6                                                    npm                             
asn1-rs                                            0.7.1                                                    rust-crate    (+1 duplicate)    
asn1-rs-impl                                       0.2.0                                                    rust-crate    (+1 duplicate)    
assert-json-diff                                   2.0.2                                                    rust-crate    (+1 duplicate)    
assert-never                                       1.2.1                                                    npm                             
assert_cmd                                         2.2.2                                                    rust-crate    (+1 duplicate)    
assert_fs                                          1.1.4                                                    rust-crate    (+1 duplicate)    
astral-pubgrub                                     0.5.0                                                    rust-crate    (+1 duplicate)    
astral-reqwest-middleware                          0.5.1                                                    rust-crate    (+1 duplicate)    
astral-reqwest-retry                               0.9.1                                                    rust-crate    (+1 duplicate)    
astral-tl                                          0.7.11                                                   rust-crate    (+1 duplicate)    
astral-tokio-tar                                   0.6.3                                                    rust-crate    (+1 duplicate)    
astral-version-ranges                              0.2.0                                                    rust-crate    (+1 duplicate)    
astral_async_http_range_reader                     0.11.0                                                   rust-crate    (+1 duplicate)    
astral_async_zip                                   0.0.20                                                   rust-crate    (+1 duplicate)    
asttokens                                          3.0.2                                                    python                          
async-broadcast                                    0.7.2                                                    rust-crate    (+1 duplicate)    
async-channel                                      2.5.0                                                    rust-crate    (+1 duplicate)    
async-compression                                  0.4.19                                                   rust-crate    (+1 duplicate)    
async-recursion                                    1.1.1                                                    rust-crate    (+1 duplicate)    
async-trait                                        0.1.89                                                   rust-crate    (+1 duplicate)    
asynckit                                           0.4.0                                                    npm                             
at-least-node                                      1.0.0                                                    npm                             
at-spi2-common                                     2.46.0-5                                                 deb                             
atob                                               2.1.2                                                    npm                             
atomic-waker                                       1.1.2                                                    rust-crate    (+1 duplicate)    
attr-accept                                        2.2.5                                                    npm                             
attrs                                              26.1.0                                                   python                          
autocommand                                        2.2.2                                                    python                          
autoprefixer                                       10.4.16                                                  npm                             
awesomplete                                        1.1.5                                                    npm                             
aws-lc-rs                                          1.16.2                                                   rust-crate    (+1 duplicate)    
aws-lc-sys                                         0.39.0                                                   rust-crate    (+1 duplicate)    
axios                                              1.18.1                                                   npm                             
axoasset                                           2.0.1                                                    rust-crate    (+1 duplicate)    
axoprocess                                         0.2.1                                                    rust-crate    (+1 duplicate)    
axotag                                             0.3.0                                                    rust-crate    (+1 duplicate)    
axoupdater                                         0.10.0                                                   rust-crate    (+1 duplicate)    
babel                                              2.16.0                                                   python                          
babel-walk                                         3.0.0-canary-5                                           npm                             
backports-tarfile                                  1.2.0                                                    python                          
